"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2025","0.00001316","0.00001287","0.00001317","0.00001221","10,792.25B","1.94%"
"03/03/2025","0.00001291","0.00001512","0.00001513","0.00001272","8,230.36B","-14.73%"
"03/02/2025","0.00001514","0.00001362","0.00001518","0.00001350","6,591.05B","11.00%"
"03/01/2025","0.00001364","0.00001393","0.00001414","0.00001341","2,451.94B","-2.08%"
"02/28/2025","0.00001393","0.00001442","0.00001444","0.00001302","7,127.73B","-3.40%"
"02/27/2025","0.00001442","0.00001444","0.00001485","0.00001421","3,578.85B","0.00%"
"02/26/2025","0.00001442","0.00001411","0.00001454","0.00001376","4,668.17B","2.27%"
"02/25/2025","0.00001410","0.00001366","0.00001427","0.00001308","8,672.01B","3.37%"
"02/24/2025","0.00001364","0.00001547","0.00001555","0.00001352","5,600.13B","-11.72%"
"02/23/2025","0.00001545","0.00001561","0.00001577","0.00001532","1,762.55B","-0.96%"
"02/22/2025","0.00001560","0.00001504","0.00001578","0.00001503","2,137.93B","3.45%"
"02/21/2025","0.00001508","0.00001555","0.00001596","0.00001486","3,774.35B","-2.96%"
"02/20/2025","0.00001554","0.00001540","0.00001560","0.00001530","2,463.63B","0.78%"
"02/19/2025","0.00001542","0.00001524","0.00001553","0.00001507","2,388.28B","1.31%"
"02/18/2025","0.00001522","0.00001575","0.00001579","0.00001487","3,409.38B","-3.30%"
"02/17/2025","0.00001574","0.00001598","0.00001628","0.00001542","3,471.44B","-1.50%"
"02/16/2025","0.00001598","0.00001633","0.00001638","0.00001586","2,246.47B","-2.14%"
"02/15/2025","0.00001633","0.00001672","0.00001703","0.00001624","2,741.09B","-2.33%"
"02/14/2025","0.00001672","0.00001630","0.00001718","0.00001619","4,471.53B","2.58%"
"02/13/2025","0.00001630","0.00001700","0.00001703","0.00001595","4,254.10B","-4.12%"
"02/12/2025","0.00001700","0.00001570","0.00001733","0.00001551","7,582.60B","8.28%"
"02/11/2025","0.00001570","0.00001581","0.00001648","0.00001546","4,381.23B","-0.63%"
"02/10/2025","0.00001580","0.00001566","0.00001609","0.00001529","3,478.58B","0.89%"
"02/09/2025","0.00001566","0.00001597","0.00001652","0.00001516","3,772.57B","-1.94%"
"02/08/2025","0.00001597","0.00001510","0.00001606","0.00001501","4,498.33B","5.76%"
"02/07/2025","0.00001510","0.00001486","0.00001569","0.00001464","5,767.21B","1.62%"
"02/06/2025","0.00001486","0.00001577","0.00001614","0.00001475","5,805.28B","-5.77%"
"02/05/2025","0.00001577","0.00001576","0.00001671","0.00001553","6,380.21B","0.06%"
"02/04/2025","0.00001576","0.00001682","0.00001693","0.00001508","10,884.30B","-6.30%"
"02/03/2025","0.00001682","0.00001552","0.00001688","0.00001206","29,526.03B","8.38%"
"02/02/2025","0.00001552","0.00001763","0.00001795","0.00001489","12,396.72B","-11.97%"
"02/01/2025","0.00001763","0.00001889","0.00001922","0.00001750","4,443.47B","-6.67%"
"01/31/2025","0.00001889","0.00001868","0.00001967","0.00001850","5,007.55B","1.12%"
"01/30/2025","0.00001868","0.00001829","0.00001898","0.00001818","3,952.30B","2.13%"
"01/29/2025","0.00001829","0.00001796","0.00001879","0.00001783","5,099.65B","1.72%"
"01/28/2025","0.00001798","0.00001897","0.00001932","0.00001772","4,717.44B","-5.22%"
"01/27/2025","0.00001897","0.00001911","0.00001916","0.00001735","8,475.21B","-0.68%"
"01/26/2025","0.00001910","0.00001999","0.00002016","0.00001909","2,951.02B","-4.45%"
"01/25/2025","0.00001999","0.00001996","0.00002021","0.00001970","2,783.04B","0.15%"
"01/24/2025","0.00001996","0.00002015","0.00002052","0.00001951","4,919.78B","-0.94%"
"01/23/2025","0.00002015","0.00002017","0.00002049","0.00001956","6,118.92B","-0.10%"
"01/22/2025","0.00002017","0.00002091","0.00002099","0.00002008","4,333.57B","-3.54%"
"01/21/2025","0.00002091","0.00002033","0.00002130","0.00001966","8,982.38B","2.85%"
"01/20/2025","0.00002033","0.00002035","0.00002199","0.00001964","18,729.96B","-0.05%"
"01/19/2025","0.00002034","0.00002277","0.00002325","0.00001992","21,417.13B","-10.67%"
"01/18/2025","0.00002277","0.00002420","0.00002494","0.00002237","9,999.62B","-5.91%"
"01/17/2025","0.00002420","0.00002200","0.00002460","0.00002200","11,532.75B","10.00%"
"01/16/2025","0.00002200","0.00002273","0.00002279","0.00002175","6,983.83B","-3.21%"
"01/15/2025","0.00002273","0.00002161","0.00002283","0.00002094","6,647.76B","5.18%"
"01/14/2025","0.00002161","0.00002121","0.00002175","0.00002110","4,279.22B","1.89%"
"01/13/2025","0.00002121","0.00002156","0.00002214","0.00001982","7,756.83B","-1.62%"
"01/12/2025","0.00002156","0.00002219","0.00002220","0.00002131","2,711.91B","-2.84%"
"01/11/2025","0.00002219","0.00002156","0.00002271","0.00002136","3,506.69B","2.92%"
"01/10/2025","0.00002156","0.00002104","0.00002190","0.00002103","4,931.56B","2.47%"
"01/09/2025","0.00002104","0.00002130","0.00002199","0.00002058","5,469.69B","-1.22%"
"01/08/2025","0.00002130","0.00002179","0.00002198","0.00002042","6,561.97B","-2.29%"
"01/07/2025","0.00002180","0.00002406","0.00002427","0.00002171","7,337.90B","-9.39%"
"01/06/2025","0.00002406","0.00002392","0.00002460","0.00002344","4,568.52B","0.59%"
"01/05/2025","0.00002392","0.00002433","0.00002440","0.00002349","3,197.61B","-1.69%"
"01/04/2025","0.00002433","0.00002442","0.00002490","0.00002390","4,238.52B","-0.37%"
"01/03/2025","0.00002442","0.00002289","0.00002461","0.00002252","5,478.98B","6.68%"
"01/02/2025","0.00002289","0.00002169","0.00002297","0.00002160","5,334.32B","5.53%"
"01/01/2025","0.00002169","0.00002118","0.00002172","0.00002072","3,531.60B","2.41%"
